customer_state,order_count,delayed_rate,median_shipping_days,median_delivery_delay_days
AL,397,0.23929471032745592,22.332916666666662,-9.434537037037035
MA,717,0.19665271966527198,19.190601851851852,-10.007199074074077
PI,476,0.15966386554621848,16.29226851851852,-13.077297453703704
CE,1279,0.1532447224394058,18.20920138888889,-12.273969907407407
SE,335,0.15223880597014924,18.014305555555556,-12.127337962962963
BA,3256,0.14035626535626536,16.91396412037037,-11.563425925925927
RJ,12350,0.13473684210526315,12.04164351851852,-12.255173611111111
TO,274,0.12773722627737227,15.865885416666668,-12.624797453703703
PA,946,0.12367864693446089,21.078391203703703,-15.079079861111111
ES,1995,0.12230576441102757,13.636956018518518,-11.15318287037037
RR,41,0.12195121951219512,25.00730324074074,-19.057766203703704
MS,701,0.11554921540656206,13.943796296296297,-11.437534722222225
PB,517,0.1102514506769826,18.15244212962963,-13.358229166666666
PE,1593,0.10797237915881984,15.702766203703703,-13.584976851851852
RN,474,0.10759493670886076,16.060254629629632,-14.352534722222224
SC,3546,0.09757473209249859,13.014351851851853,-12.082899305555554
GO,1957,0.08175779253960143,13.949606481481482,-12.305347222222222
RS,5345,0.0714686623012161,13.177488425925926,-14.028159722222222
DF,2080,0.07067307692307692,11.364924768518518,-12.064184027777777
MT,886,0.06772009029345373,16.109050925925924,-14.263431712962962
SP,40501,0.058936816374904326,7.210271990740741,-10.282725694444444
MG,11354,0.056103575832305796,10.313512731481481,-13.11837962962963
PR,4923,0.049969530773918344,10.42550925925926,-13.093969907407407
AP,67,0.04477611940298507,24.347025462962964,-21.161122685185184
AM,145,0.041379310344827586,25.875138888888888,-18.18841435185185
AC,80,0.0375,18.356527777777778,-21.197366898148147
RO,243,0.02880658436213992,17.582361111111112,-20.181377314814817
