delay_bucket,order_count,avg_review_score,median_shipping_days
Sớm > 7 ngày,70929,4.316837964725289,9.227916666666667
Sớm 0-7 ngày,17234,4.2005918533132185,13.182760416666667
Trễ 0-3 ngày,2636,3.7659332321699543,22.12322337962963
Trễ 3-7 ngày,1773,2.3164128595600677,26.797905092592593
Trễ 7-30 ngày,2909,1.6919903746992093,37.18185185185185
Trễ > 30 ngày,343,2.0262390670553936,68.29239583333333
