product_category_final,gmv,order_count,item_count,avg_freight_ratio,avg_review_score
health_beauty,1258681.34,8836,9670,0.30208066393964156,4.141826588791545
watches_gifts,1205005.68,5624,5991,0.1705809385294855,4.018855218855219
bed_bath_table,1036988.68,9417,11115,0.28431328149120394,3.898333636860317
sports_leisure,988048.97,7720,8641,0.29389526118673726,4.10703880666589
computers_accessories,911954.32,6689,7827,0.29440142356423865,3.9326008738113596
furniture_decor,729762.49,6449,8334,0.3467256537727843,3.9073333333333333
cool_stuff,635290.85,3632,3796,0.22029358343797498,4.146597554492291
housewares,632248.66,5884,6964,0.4026574689024618,4.054784619832321
auto,592720.11,3897,4235,0.3316722767358952,4.064885496183206
garden_tools,485256.46,3518,4347,0.3320268779016062,4.045538818076477
toys,483946.6,3886,4117,0.2649800161274327,4.159564046044575
baby,411764.89,2885,3065,0.29322624075939446,4.010690789473684
perfumery,399124.87,3162,3419,0.2726013176803988,4.166079295154185
telephony,323667.52999999997,4199,4545,0.5059446459679354,3.9459219858156027
office_furniture,273960.7,1273,1691,0.2749209931563651,3.48896839594514
stationery,230943.23,2311,2517,0.32369135232094715,4.195478191276511
computers,222963.13,181,203,0.056612920522117,4.175
pet_shop,214315.41,1710,1947,0.296146159527434,4.184305627258647
musical_instruments,191498.88,628,680,0.2531310728324223,4.1513353115727005
small_appliances,190648.58,630,679,0.2530683031633145,4.148588410104012
electronics,160246.74,2550,2767,0.6835166071801111,4.037117903930131
consoles_games,157465.22,1062,1137,0.3771894766712941,4.023534635879218
fashion_bags_accessories,152823.54,1864,2031,0.3400360734930584,4.14529702970297
construction_tools_construction,144677.59,748,929,0.36758920757767605,4.0519480519480515
luggage_accessories,140429.98,1034,1092,0.26082529446669184,4.315257352941177
home_appliances_2,113317.74,234,238,0.19934385620090886,4.139830508474576
home_construction,83088.12,490,604,0.2674365453196895,3.9382303839732886
home_appliances,80171.53,764,771,0.3968395815825795,4.166449652777778
agro_industry_and_commerce,72530.47,182,212,0.27424773378037354,4.0
furniture_living_room,68916.56,422,503,0.32558491378968485,3.9016064257028114
fixed_telephony,59583.0,217,264,0.38616968478082847,3.681992337164751
home_confort,58572.04,397,434,0.2112388445496824,3.8333333333333335
air_conditioning,55024.96,253,297,0.21129203456147516,3.969178082191781
audio,50688.5,350,364,0.33123337244699846,3.8319444444444444
small_appliances_home_oven_and_coffee,47445.71,75,76,0.16434979067023106,4.302631578947368
books_general_interest,46856.88,512,553,0.3604324281957662,4.446265938069216
kitchen_dining_laundry_garden_furniture,46328.37,248,281,0.3584521042104087,3.967741935483871
construction_tools_lights,41080.0,244,304,0.25598360015880517,4.0508474576271185
construction_tools_safety,40544.52,167,194,0.24166797625522662,3.844559585492228
industry_commerce_and_business,39669.61,235,268,0.2871212980684638,4.09811320754717
food,29393.41,450,510,0.34808882886979664,4.218181818181818
market_place,28378.47,280,311,0.3219261947717215,4.019417475728155
costruction_tools_garden,25715.89,194,238,0.4253510891562634,4.046218487394958
art,24202.64,202,209,0.29933697238394935,3.9371980676328504
fashion_shoes,23562.77,240,262,0.28950341302376137,4.238372093023256
drinks,22428.7,297,379,0.4275053895264012,4.037533512064343
signaling_and_security,21509.23,140,199,0.5462109346142239,4.086294416243655
furniture_bedroom,20028.78,95,109,0.33370534058237,4.114678899082569
books_technical,19096.06,260,267,0.34873303677350587,4.363636363636363
costruction_tools_tools,15903.95,97,103,0.37416625319897917,4.444444444444445
food_drink,15179.48,227,278,0.49829068694583517,4.312274368231047
fashion_male_clothing,10797.82,112,132,0.26699681041570705,3.6412213740458017
fashion_underwear_beach,9541.55,121,131,0.5655034310990985,3.976923076923077
christmas_supplies,8800.82,128,153,0.6756595233913559,4.02054794520548
tablets_printing_image,7528.41,79,83,0.22260374600059488,4.1234567901234565
cine_photo,6933.46,65,72,0.38139577420659676,4.194444444444445
music,6034.35,38,38,0.4245177856483234,4.2105263157894735
dvds_blu_ray,5999.39,59,64,0.8330446728048007,4.079365079365079
books_imported,4639.85,53,60,0.2417611743758153,4.4
party_supplies,4485.18,39,43,0.3685268932773093,3.7674418604651163
furniture_mattress_and_upholstery,4368.08,38,38,0.48879831316432537,3.8157894736842106
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,14,15,0.39317785482495005,3.2666666666666666
fashio_female_clothing,2803.64,39,48,0.2856581448652042,3.78125
fashion_sport,2119.51,27,30,0.3219732228699217,4.233333333333333
la_cuisine,2054.99,13,14,0.1859660296099292,4.0
arts_and_craftmanship,1814.01,23,24,0.38113656041381216,4.125
diapers_and_hygiene,1567.59,27,39,0.4147341682273088,3.2564102564102564
pc_gamer,1545.95,8,9,0.09655630447602123,3.3333333333333335
flowers,1110.04,29,33,0.5649794891449433,4.419354838709677
home_comfort_2,760.27,24,30,0.9338624310268137,3.6296296296296298
cds_dvds_musicals,730.0,12,14,0.312028083028083,4.642857142857143
fashion_childrens_clothes,569.85,8,8,0.19875481281771654,4.5
security_and_services,283.28999999999996,2,2,0.14754843417535052,2.5
