customer_state,order_count,avg_review_score,gmv,avg_freight_ratio,aov
SP,41746,4.1741255144032925,5202955.05,0.26540670495306873,124.63361878982417
RJ,12852,3.877262814954941,1824092.67,0.32727232211491675,141.93064659197012
MG,11635,4.135753851480007,1585308.03,0.33042760761515577,136.25337602062743
RS,5466,4.133657909241228,750304.02,0.3557869823048257,137.26747530186609
PR,5045,4.181111775254035,683083.76,0.3449556150048768,135.39816848364717
SC,3637,4.073704627320588,520553.34,0.3460308216763379,143.1271212537806
BA,3380,3.861077844311377,511349.99,0.3949461421189615,151.28697928994083
DF,2140,4.066964285714286,302603.94,0.3430842172281059,141.40371028037384
GO,2020,4.043348281016442,294591.95,0.3516132108648839,145.837599009901
ES,2033,4.038384845463609,275037.31,0.35225289271473775,135.28642892277423
PE,1652,4.008562691131498,262788.03,0.4499958642220193,159.0726573849879
CE,1336,3.854449472096531,227254.71,0.4315407419025517,170.10083083832336
PA,975,3.8461538461538463,178947.81,0.4735929651122245,183.5362153846154
MT,907,4.101666666666667,156453.53,0.3931781281728756,172.4956229327453
MA,747,3.7580862533692723,119648.22,0.5493236498602754,160.1716465863454
MS,715,4.109396914446003,116812.64,0.3399975120219074,163.37432167832168
PB,536,4.016981132075472,115268.08,0.5115965607539515,215.05238805970149
PI,495,3.9183673469387754,86914.08,0.49984234289603957,175.584
RN,485,4.105208333333334,83034.98,0.5063297997851223,171.2061443298969
AL,413,3.7609756097560973,80314.81,0.474481964844492,194.46685230024212
SE,350,3.8080229226361033,58920.85,0.46494566748904426,168.34528571428572
TO,280,4.096774193548387,49621.74,0.49945929131574895,177.2205
RO,253,4.051587301587301,46140.64,0.5941883934550972,182.37407114624506
AM,148,4.205479452054795,22356.84,0.4981364819386864,151.05972972972972
AC,81,4.049382716049383,15982.95,0.5116505559445306,197.32037037037037
AP,68,4.1940298507462686,13474.3,0.38449917751824675,198.15147058823527
RR,46,3.608695652173913,7829.43,0.5890495478978195,170.205
