latest_review_score_label,order_count,avg_delay_days,median_delay_days
1,9351,-3.3411007091735088,-6.381273148148148
2,2921,-7.933623953142632,-9.27324074074074
3,7916,-10.067979457041996,-10.360752314814814
4,18888,-11.688728507567024,-11.503096064814816
5,56748,-12.684059323798978,-12.318252314814814
